word=медведев; end_id=44947484_6793; time_start=1375468815; count=1000; groups_num=248; users_num=0; items_num=940
word=франция; end_id=-41537762_543; time_start=1375468838; count=1000; groups_num=360; users_num=0; items_num=950
word=zoiberg; end_id=-51989457_407162; time_start=1375468872; count=1000; groups_num=165; users_num=0; items_num=893
word=путин; end_id=166213311_11938; time_start=1375468889; count=1000; groups_num=126; users_num=0; items_num=932
word=#франция; end_id=-35683765_23571; time_start=1375468908; count=1000; groups_num=314; users_num=0; items_num=877
word=медведев; end_id=44947484_6793; time_start=1375468931; count=1000; groups_num=248; users_num=0; items_num=940
word=франция; end_id=202069062_1938; time_start=1375468954; count=1000; groups_num=360; users_num=0; items_num=949
word=zoiberg; end_id=132723913_4137; time_start=1375468984; count=1000; groups_num=164; users_num=0; items_num=891
word=путин; end_id=63122931_971; time_start=1375469003; count=1000; groups_num=129; users_num=0; items_num=921
word=#франция; end_id=-42005845_2270; time_start=1375469022; count=1000; groups_num=313; users_num=0; items_num=876
word=медведев; end_id=-55284725_25107; time_start=1375469044; count=1000; groups_num=249; users_num=0; items_num=940
word=франция; end_id=8208432_2632; time_start=1375469069; count=1000; groups_num=364; users_num=0; items_num=949
word=zoiberg; end_id=67532516_6851; time_start=1375469101; count=1000; groups_num=168; users_num=0; items_num=886
word=путин; end_id=14221146_2706; time_start=1375469120; count=1000; groups_num=130; users_num=0; items_num=931
word=#франция; end_id=-42005845_2270; time_start=1375469139; count=1000; groups_num=313; users_num=0; items_num=877
word=медведев; end_id=145100060_514; time_start=1375469162; count=1000; groups_num=248; users_num=0; items_num=940
word=франция; end_id=-1821818_29431; time_start=1375469186; count=1000; groups_num=367; users_num=0; items_num=948
word=zoiberg; end_id=60157888_2349; time_start=1375469218; count=1000; groups_num=170; users_num=0; items_num=890
word=путин; end_id=-25232578_910963; time_start=1375469237; count=1000; groups_num=131; users_num=0; items_num=937
word=#франция; end_id=-42005845_2270; time_start=1375469256; count=1000; groups_num=313; users_num=0; items_num=877
word=медведев; end_id=22444093_284; time_start=1375469280; count=1000; groups_num=249; users_num=0; items_num=940
word=франция; end_id=-52116682_922; time_start=1375469304; count=1000; groups_num=371; users_num=0; items_num=947
word=zoiberg; end_id=173547635_179; time_start=1375469334; count=1000; groups_num=164; users_num=0; items_num=855
word=путин; end_id=65759993_1285; time_start=1375469357; count=1000; groups_num=131; users_num=0; items_num=937
word=#франция; end_id=-42005845_2270; time_start=1375469376; count=1000; groups_num=313; users_num=0; items_num=877
word=медведев; end_id=-49238645_7826; time_start=1375469398; count=1000; groups_num=249; users_num=0; items_num=940
word=франция; end_id=-40615235_32648; time_start=1375469420; count=1000; groups_num=368; users_num=0; items_num=947
word=zoiberg; end_id=-27923945_604; time_start=1375469449; count=1000; groups_num=166; users_num=0; items_num=870
word=путин; end_id=-17568841_1034079; time_start=1375469468; count=1000; groups_num=130; users_num=0; items_num=935
word=#франция; end_id=-42005845_2270; time_start=1375469489; count=1000; groups_num=313; users_num=0; items_num=877
word=медведев; end_id=-45226793_21051; time_start=1375469514; count=1000; groups_num=249; users_num=0; items_num=935
word=франция; end_id=178304440_1982; time_start=1375469541; count=1000; groups_num=370; users_num=0; items_num=947
word=zoiberg; end_id=208521660_839; time_start=1375469576; count=1000; groups_num=164; users_num=0; items_num=881
word=путин; end_id=213426008_170; time_start=1375469598; count=1000; groups_num=137; users_num=0; items_num=935
word=#франция; end_id=-42005845_2270; time_start=1375469622; count=1000; groups_num=313; users_num=0; items_num=877
word=медведев; end_id=-42806370_5749; time_start=1375469646; count=1000; groups_num=247; users_num=0; items_num=940
word=франция; end_id=7800073_2067; time_start=1375469667; count=1000; groups_num=371; users_num=0; items_num=948
word=zoiberg; end_id=-38533435_9947; time_start=1375469697; count=1000; groups_num=171; users_num=0; items_num=881
word=путин; end_id=5031625_393; time_start=1375469716; count=1000; groups_num=138; users_num=0; items_num=935
word=#франция; end_id=-42005845_2270; time_start=1375469736; count=1000; groups_num=313; users_num=0; items_num=877
word=медведев; end_id=-45226793_21051; time_start=1375469757; count=1000; groups_num=249; users_num=0; items_num=940
word=франция; end_id=-35862441_99051; time_start=1375469781; count=1000; groups_num=373; users_num=0; items_num=949
word=zoiberg; end_id=208521660_841; time_start=1375469811; count=1000; groups_num=173; users_num=0; items_num=883
word=путин; end_id=-29339175_50780; time_start=1375469830; count=1000; groups_num=138; users_num=0; items_num=937
word=#франция; end_id=-42005845_2270; time_start=1375469849; count=1000; groups_num=313; users_num=0; items_num=877
word=медведев; end_id=-29078940_1052211; time_start=1375469872; count=1000; groups_num=245; users_num=0; items_num=942
word=франция; end_id=37627487_1202; time_start=1375469898; count=1000; groups_num=373; users_num=0; items_num=949
word=zoiberg; end_id=-51544551_239; time_start=1375469932; count=1000; groups_num=179; users_num=0; items_num=875
word=путин; end_id=-26808984_74663; time_start=1375469951; count=1000; groups_num=138; users_num=0; items_num=933
word=#франция; end_id=-42005845_2270; time_start=1375469969; count=1000; groups_num=313; users_num=0; items_num=877
word=медведев; end_id=-37986510_376; time_start=1375469992; count=1000; groups_num=245; users_num=0; items_num=942
word=франция; end_id=19390763_18688; time_start=1375470013; count=1000; groups_num=370; users_num=0; items_num=947
word=zoiberg; end_id=-56693858_24; time_start=1375470047; count=1000; groups_num=178; users_num=0; items_num=877
word=путин; end_id=22158153_3002; time_start=1375470066; count=1000; groups_num=136; users_num=0; items_num=930
word=#франция; end_id=-42005845_2270; time_start=1375470084; count=1000; groups_num=313; users_num=0; items_num=877
word=медведев; end_id=-29539204_9689; time_start=1375470106; count=1000; groups_num=242; users_num=0; items_num=942
word=франция; end_id=32536346_3542; time_start=1375470128; count=1000; groups_num=372; users_num=0; items_num=945
word=zoiberg; end_id=152586936_761; time_start=1375470162; count=1000; groups_num=171; users_num=0; items_num=859
word=путин; end_id=-35688579_544; time_start=1375470184; count=1000; groups_num=135; users_num=0; items_num=931
word=#франция; end_id=-42005845_2270; time_start=1375470204; count=1000; groups_num=313; users_num=0; items_num=877
word=медведев; end_id=-43397595_5588; time_start=1375470226; count=1000; groups_num=244; users_num=0; items_num=941
word=франция; end_id=-2383828_5269; time_start=1375470248; count=1000; groups_num=364; users_num=0; items_num=944
word=zoiberg; end_id=200135762_713; time_start=1375470283; count=1000; groups_num=171; users_num=0; items_num=844
word=путин; end_id=32901246_723; time_start=1375470302; count=1000; groups_num=137; users_num=0; items_num=931
word=#франция; end_id=-42005845_2270; time_start=1375470321; count=1000; groups_num=313; users_num=0; items_num=877
word=медведев; end_id=56233666_3325; time_start=1375470343; count=1000; groups_num=245; users_num=0; items_num=940
word=франция; end_id=166031335_1180; time_start=1375470368; count=1000; groups_num=363; users_num=0; items_num=943
word=zoiberg; end_id=199157694_130; time_start=1375470398; count=1000; groups_num=174; users_num=0; items_num=848
word=путин; end_id=-23977193_67624; time_start=1375470419; count=1000; groups_num=136; users_num=0; items_num=927
word=#франция; end_id=-42005845_2270; time_start=1375470443; count=1000; groups_num=313; users_num=0; items_num=877
word=медведев; end_id=17289212_2986; time_start=1375470465; count=1000; groups_num=244; users_num=0; items_num=940
word=франция; end_id=122744123_2737; time_start=1375470487; count=1000; groups_num=367; users_num=0; items_num=945
